Partition EE988822-1E49-4F77-8CE0-9D6851307685
			member(142) 6120
			member(143) 6100
			member(144) 6075
			member(145) 5997
			member(146) 5739
			member(147) 5197
			member(148) 4409
			member(149) 3596
			member(150) 2433
			member(151) 2130
			member(152) 2104
			member(153) 2175
			member(154) 2330
			member(155) 2517
			member(156) 2724
			member(157) 2956
			member(158) 3189
			member(159) 3460
			member(160) 3744
			member(161) 4067
			member(162) 4441
			member(163) 4829
			member(164) 5268
			member(165) 6036
			member(166) 7527
			member(167) 7850
			member(168) 7927
			member(169) 8392
			member(170) 8431
			member(171) 9115
			member(172) 9735
			member(173) 10813
			member(174) 11879
			member(175) 12034
			member(176) 12627
			member(177) 15171
			member(178) 17095
			member(179) 18993
			member(180) 21324
			member(181) 22389
			member(182) 24758
			member(183) 27470
			member(184) 29361
			member(185) 31834
			member(186) 34223
			member(187) 37393
			member(188) 39943
			member(189) 42222
			member(190) 43223
			member(191) 43907
			member(192) 6171
			member(193) 6171
			member(194) 6171
			member(195) 6171
			member(196) 6171
			member(197) 6171
			member(198) 6171
			member(199) 6171
			member(200) 6171
			member(201) 6171
			member(202) 6171
			member(203) 6171
			member(204) 6171
			member(205) 6171
			member(206) 6165
			member(207) 6165
			member(208) 6165
			member(209) 6139
			member(210) 6036
			member(211) 5713
			member(212) 5009
			member(213) 4183
			member(214) 3092
			member(215) 2143
			member(216) 2014
			member(217) 2027
			member(218) 2162
			member(219) 2311
			member(220) 2517
			member(221) 2698
			member(222) 2918
			member(223) 3163
			member(224) 3434
			member(225) 3731
			member(226) 4080
			member(227) 4428
			member(228) 4829
			member(229) 5255
			member(230) 6572
			member(231) 6372
			member(232) 6210
			member(233) 7043
			member(234) 8095
			member(235) 9141
			member(236) 10310
			member(237) 10665
			member(238) 11530
			member(239) 12524
			member(240) 12873
			member(241) 15429
			member(242) 17599
			member(243) 19723
			member(244) 20375
			member(245) 22040
			member(246) 23848
			member(247) 25585
			member(248) 27412
			member(249) 29200
			member(250) 31737
			member(251) 32932
			member(252) 34378
			member(253) 36140
			member(254) 37709
			member(255) 39743
			member(256) 6171
			member(257) 6171
			member(258) 6171
			member(259) 6171
			member(260) 6171
			member(261) 6171
			member(262) 6171
			member(263) 6171
			member(264) 6171
			member(265) 6171
			member(266) 6171
			member(267) 6171
			member(268) 6171
			member(269) 6171
			member(270) 6171
			member(271) 6171
			member(272) 6171
			member(273) 6171
			member(274) 6146
			member(275) 6010
			member(276) 5468
			member(277) 4461
			member(278) 3518
			member(279) 2246
			member(280) 1865
			member(281) 1865
			member(282) 1962
			member(283) 2104
			member(284) 2246
			member(285) 2414
			member(286) 2621
			member(287) 2827
			member(288) 3060
			member(289) 3331
			member(290) 3641
			member(291) 3951
			member(292) 4299
			member(293) 4674
			member(294) 5526
			member(295) 6146
			member(296) 6288
			member(297) 7179
			member(298) 9102
			member(299) 9826
			member(300) 10368
			member(301) 10904
			member(302) 11737
			member(303) 12188
			member(304) 13493
			member(305) 15855
			member(306) 17631
			member(307) 19594
			member(308) 20510
			member(309) 21911
			member(310) 23732
			member(311) 25320
			member(312) 27089
			member(313) 28877
			member(314) 30582
			member(315) 32273
			member(316) 33926
			member(317) 35598
			member(318) 37102
			member(319) 38929
			member(320) 6171
			member(321) 6171
			member(322) 6171
			member(323) 6171
			member(324) 6171
			member(325) 6171
			member(326) 6171
			member(327) 6171
			member(328) 6171
			member(329) 6171
			member(330) 6171
			member(331) 6171
			member(332) 6171
			member(333) 6171
			member(334) 6171
			member(335) 6171
			member(336) 6171
			member(337) 6171
			member(338) 6165
			member(339) 6139
			member(340) 5849
			member(341) 4900
			member(342) 3738
			member(343) 2188
			member(344) 1691
			member(345) 1691
			member(346) 1756
			member(347) 1859
			member(348) 2001
			member(349) 2169
			member(350) 2375
			member(351) 2569
			member(352) 2750
			member(353) 2969
			member(354) 3266
			member(355) 3589
			member(356) 3989
			member(357) 4674
			member(358) 6184
			member(359) 7863
			member(360) 8534
			member(361) 7902
			member(362) 9477
			member(363) 10316
			member(364) 11246
			member(365) 11207
			member(366) 11833
			member(367) 12376
			member(368) 13544
			member(369) 15597
			member(370) 17457
			member(371) 19606
			member(372) 21195
			member(373) 21995
			member(374) 23732
			member(375) 25249
			member(376) 26921
			member(377) 28367
			member(378) 30149
			member(379) 31699
			member(380) 33313
			member(381) 34920
			member(382) 36340
			member(383) 38109
			member(384) 6171
			member(385) 6171
			member(386) 6171
			member(387) 6171
			member(388) 6171
			member(389) 6171
			member(390) 6171
			member(391) 6171
			member(392) 6171
			member(393) 6171
			member(394) 6171
			member(395) 6171
			member(396) 6171
			member(397) 6171
			member(398) 6171
			member(399) 6171
			member(400) 6171
			member(401) 6171
			member(402) 6171
			member(403) 6165
			member(404) 6055
			member(405) 5442
			member(406) 3970
			member(407) 2001
			member(408) 1530
			member(409) 1530
			member(410) 1601
			member(411) 1691
			member(412) 1898
			member(413) 2117
			member(414) 2349
			member(415) 2543
			member(416) 2711
			member(417) 2931
			member(418) 3253
			member(419) 3589
			member(420) 4286
			member(421) 7140
			member(422) 9942
			member(423) 11259
			member(424) 9438
			member(425) 9541
			member(426) 10910
			member(427) 11969
			member(428) 11659
			member(429) 11724
			member(430) 11930
			member(431) 12640
			member(432) 13738
			member(433) 13738
			member(434) 15662
			member(435) 18993
			member(436) 20691
			member(437) 21124
			member(438) 22802
			member(439) 25081
			member(440) 26527
			member(441) 27773
			member(442) 29491
			member(443) 30892
			member(444) 32383
			member(445) 33861
			member(446) 35295
			member(447) 36883
			member(448) 6171
			member(449) 6171
			member(450) 6171
			member(451) 6171
			member(452) 6171
			member(453) 6171
			member(454) 6171
			member(455) 6171
			member(456) 6171
			member(457) 6171
			member(458) 6171
			member(459) 6171
			member(460) 6171
			member(461) 6171
			member(462) 6171
			member(463) 6171
			member(464) 6171
			member(465) 6171
			member(466) 6171
			member(467) 6171
			member(468) 6126
			member(469) 5771
			member(470) 4177
			member(471) 1943
			member(472) 1497
			member(473) 1504
			member(474) 1594
			member(475) 1678
			member(476) 1898
			member(477) 2143
			member(478) 2414
			member(479) 2646
			member(480) 2827
			member(481) 3085
			member(482) 3602
			member(483) 4260
			member(484) 5694
			member(485) 9477
			member(486) 9955
			member(487) 9374
			member(488) 9077
			member(489) 9296
			member(490) 10213
			member(491) 11711
			member(492) 12950
			member(493) 12318
			member(494) 12046
			member(495) 12627
			member(496) 12950
			member(497) 13299
			member(498) 15087
			member(499) 16811
			member(500) 18787
			member(501) 20710
			member(502) 22802
			member(503) 24074
			member(504) 25520
			member(505) 27011
			member(506) 28412
			member(507) 29794
			member(508) 31111
			member(509) 32686
			member(510) 34559
			member(511) 36289
			member(512) 6171
			member(513) 6171
			member(514) 6171
			member(515) 6171
			member(516) 6171
			member(517) 6171
			member(518) 6171
			member(519) 6171
			member(520) 6171
			member(521) 6171
			member(522) 6171
			member(523) 6171
			member(524) 6171
			member(525) 6171
			member(526) 6171
			member(527) 6171
			member(528) 6171
			member(529) 6171
			member(530) 6171
			member(531) 6159
			member(532) 6042
			member(533) 5539
			member(534) 3963
			member(535) 1949
			member(536) 1536
			member(537) 1549
			member(538) 1697
			member(539) 1872
			member(540) 2195
			member(541) 2569
			member(542) 2956
			member(543) 3253
			member(544) 3512
			member(545) 3834
			member(546) 4325
			member(547) 4764
			member(548) 5435
			member(549) 7230
			member(550) 7837
			member(551) 8160
			member(552) 8354
			member(553) 8354
			member(554) 8973
			member(555) 9813
			member(556) 10884
			member(557) 11530
			member(558) 11672
			member(559) 12524
			member(560) 12537
			member(561) 13312
			member(562) 15307
			member(563) 16805
			member(564) 18573
			member(565) 20065
			member(566) 22066
			member(567) 23099
			member(568) 24539
			member(569) 25933
			member(570) 27179
			member(571) 28587
			member(572) 30097
			member(573) 32209
			member(574) 34462
			member(575) 36327
			member(576) 6171
			member(577) 6171
			member(578) 6171
			member(579) 6171
			member(580) 6171
			member(581) 6171
			member(582) 6171
			member(583) 6171
			member(584) 6171
			member(585) 6171
			member(586) 6171
			member(587) 6171
			member(588) 6171
			member(589) 6171
			member(590) 6171
			member(591) 6171
			member(592) 6171
			member(593) 6171
			member(594) 6165
			member(595) 6094
			member(596) 5778
			member(597) 5080
			member(598) 3899
			member(599) 2169
			member(600) 1885
			member(601) 1936
			member(602) 2233
			member(603) 2582
			member(604) 2982
			member(605) 3382
			member(606) 3744
			member(607) 4015
			member(608) 4248
			member(609) 4493
			member(610) 4687
			member(611) 4764
			member(612) 5190
			member(613) 5745
			member(614) 5629
			member(615) 5681
			member(616) 5423
			member(617) 5423
			member(618) 5216
			member(619) 5229
			member(620) 7024
			member(621) 10445
			member(622) 10807
			member(623) 11491
			member(624) 12072
			member(625) 13505
			member(626) 14881
			member(627) 16359
			member(628) 18044
			member(629) 19690
			member(630) 20833
			member(631) 22202
			member(632) 23454
			member(633) 24700
			member(634) 25991
			member(635) 27683
			member(636) 29871
			member(637) 32099
			member(638) 34462
			member(639) 37244
			member(640) 6171
			member(641) 6171
			member(642) 6171
			member(643) 6171
			member(644) 6171
			member(645) 6171
			member(646) 6171
			member(647) 6171
			member(648) 6171
			member(649) 6171
			member(650) 6171
			member(651) 6171
			member(652) 6171
			member(653) 6171
			member(654) 6171
			member(655) 6171
			member(656) 6171
			member(657) 6171
			member(658) 6152
			member(659) 5978
			member(660) 5390
			member(661) 4887
			member(662) 3938
			member(663) 2782
			member(664) 2621
			member(665) 2724
			member(666) 3137
			member(667) 3537
			member(668) 3912
			member(669) 4196
			member(670) 4390
			member(671) 4532
			member(672) 4648
			member(673) 4725
			member(674) 4738
			member(675) 4777
			member(676) 5022
			member(677) 4596
			member(678) 4557
			member(679) 4118
			member(680) 3344
			member(681) 2349
			member(682) 180
			member(683) 1317
			member(684) 5203
			member(685) 8715
			member(686) 10420
			member(687) 10574
			member(688) 12066
			member(689) 13163
			member(690) 14396
			member(691) 15797
			member(692) 17282
			member(693) 18670
			member(694) 19994
			member(695) 21253
			member(696) 22454
			member(697) 23951
			member(698) 25901
			member(699) 27205
			member(700) 29710
			member(701) 32693
			member(702) 35359
			member(703) 38606
			member(704) 6171
			member(705) 6171
			member(706) 6171
			member(707) 6171
			member(708) 6171
			member(709) 6171
			member(710) 6171
			member(711) 6171
			member(712) 6171
			member(713) 6171
			member(714) 6171
			member(715) 6171
			member(716) 6171
			member(717) 6171
			member(718) 6171
			member(719) 6171
			member(720) 6171
			member(721) 6171
			member(722) 6152
			member(723) 5913
			member(724) 5293
			member(725) 4893
			member(726) 4338
			member(727) 3563
			member(728) 3499
			member(729) 3718
			member(730) 4028
			member(731) 4299
			member(732) 4532
			member(733) 4635
			member(734) 4687
			member(735) 4725
			member(736) 4738
			member(737) 4519
			member(738) 4273
			member(739) 4235
			member(740) 4248
			member(741) 3395
			member(742) 3215
			member(743) 3331
			member(744) 1988
			member(745) 929
			member(746) 142
			member(747) 632
			member(748) 5151
			member(749) 6520
			member(750) 8063
			member(751) 10394
			member(752) 11575
			member(753) 12705
			member(754) 13925
			member(755) 15274
			member(756) 16979
			member(757) 17831
			member(758) 19193
			member(759) 20426
			member(760) 21866
			member(761) 23829
			member(762) 25720
			member(763) 27341
			member(764) 30065
			member(765) 33280
			member(766) 35966
			member(767) 39639
			member(768) 6171
			member(769) 6171
			member(770) 6171
			member(771) 6171
			member(772) 6171
			member(773) 6171
			member(774) 6171
			member(775) 6171
			member(776) 6171
			member(777) 6171
			member(778) 6171
			member(779) 6171
			member(780) 6171
			member(781) 6171
			member(782) 6171
			member(783) 6171
			member(784) 6171
			member(785) 6171
			member(786) 6152
			member(787) 5913
			member(788) 5358
			member(789) 5268
			member(790) 4893
			member(791) 4228
			member(792) 4228
			member(793) 4454
			member(794) 4583
			member(795) 4699
			member(796) 4738
			member(797) 4738
			member(798) 4738
			member(799) 4738
			member(800) 4725
			member(801) 4467
			member(802) 4054
			member(803) 3634
			member(804) 3602
			member(805) 2892
			member(806) 2621
			member(807) 2788
			member(808) 1123
			member(809) 103
			member(810) 0
			member(811) 968
			member(812) 4893
			member(813) 5810
			member(814) 8037
			member(815) 9974
			member(816) 11188
			member(817) 12337
			member(818) 13525
			member(819) 14829
			member(820) 16359
			member(821) 17766
			member(822) 18774
			member(823) 20129
			member(824) 21776
			member(825) 23700
			member(826) 26017
			member(827) 28451
			member(828) 31498
			member(829) 35191
			member(830) 38374
			member(831) 41357
			member(832) 6171
			member(833) 6171
			member(834) 6171
			member(835) 6171
			member(836) 6171
			member(837) 6171
			member(838) 6171
			member(839) 6171
			member(840) 6171
			member(841) 6171
			member(842) 6171
			member(843) 6171
			member(844) 6171
			member(845) 6171
			member(846) 6171
			member(847) 6171
			member(848) 6171
			member(849) 6171
			member(850) 6165
			member(851) 6023
			member(852) 5726
			member(853) 5726
			member(854) 4887
			member(855) 4654
			member(856) 4693
			member(857) 4816
			member(858) 4854
			member(859) 4945
			member(860) 4867
			member(861) 4803
			member(862) 4842
			member(863) 4286
			member(864) 4170
			member(865) 3763
			member(866) 3453
			member(867) 3441
			member(868) 3098
			member(869) 2918
			member(870) 2788
			member(871) 813
			member(872) 180
			member(873) 180
			member(874) 180
			member(875) 1497
			member(876) 4687
			member(877) 6133
			member(878) 8405
			member(879) 9767
			member(880) 10994
			member(881) 12143
			member(882) 13280
			member(883) 14584
			member(884) 16127
			member(885) 18018
			member(886) 18787
			member(887) 20116
			member(888) 21814
			member(889) 23925
			member(890) 26553
			member(891) 29387
			member(892) 32957
			member(893) 36999
			member(894) 40434
			member(895) 44456
			member(896) 6171
			member(897) 6171
			member(898) 6171
			member(899) 6171
			member(900) 6171
			member(901) 6171
			member(902) 6171
			member(903) 6171
			member(904) 6171
			member(905) 6171
			member(906) 6171
			member(907) 6171
			member(908) 6171
			member(909) 6171
			member(910) 6171
			member(911) 6171
			member(912) 6171
			member(913) 6171
			member(914) 6171
			member(915) 6139
			member(916) 6113
			member(917) 5784
			member(918) 4996
			member(919) 4996
			member(920) 5248
			member(921) 5732
			member(922) 5862
			member(923) 6636
			member(924) 6481
			member(925) 6159
			member(926) 6352
			member(927) 4093
			member(928) 4015
			member(929) 3783
			member(930) 3434
			member(931) 3163
			member(932) 3092
			member(933) 2943
			member(934) 2569
			member(935) 697
			member(936) 180
			member(937) 180
			member(938) 800
			member(939) 3111
			member(940) 4661
			member(941) 6733
			member(942) 8541
			member(943) 9787
			member(944) 10949
			member(945) 12130
			member(946) 13021
			member(947) 14377
			member(948) 16062
			member(949) 17980
			member(950) 19936
			member(951) 21001
			member(952) 23196
			member(953) 26275
			member(954) 28270
			member(955) 31699
			member(956) 34720
			member(957) 39213
			member(958) 42564
			member(959) 46922
			member(960) 6171
			member(961) 6171
			member(962) 6171
			member(963) 6171
			member(964) 6171
			member(965) 6171
			member(966) 6171
			member(967) 6171
			member(968) 6171
			member(969) 6171
			member(970) 6171
			member(971) 6171
			member(972) 6171
			member(973) 6171
			member(974) 6171
			member(975) 6171
			member(976) 6165
			member(977) 6152
			member(978) 6152
			member(979) 6178
			member(980) 6262
			member(981) 6830
			member(982) 6449
			member(983) 6443
			member(984) 7605
			member(985) 9903
			member(986) 10316
			member(987) 10781
			member(988) 10587
			member(989) 10716
			member(990) 11298
			member(991) 9851
			member(992) 7992
			member(993) 6636
			member(994) 4086
			member(995) 3150
			member(996) 2969
			member(997) 2717
			member(998) 2582
			member(999) 1007
			member(1000) 1007
			member(1001) 1704
			member(1002) 2014
			member(1003) 3318
			member(1004) 4842
			member(1005) 6849
			member(1006) 8554
			member(1007) 9813
			member(1008) 10981
			member(1009) 11950
			member(1010) 12976
			member(1011) 13932
			member(1012) 15868
			member(1013) 17528
			member(1014) 20388
			member(1015) 22750
			member(1016) 25798
			member(1017) 29607
			member(1018) 32086
			member(1019) 34875
			member(1020) 40246
			member(1021) 41770
			member(1022) 45463
			member(1023) 48697
			member(1024) 6171
			member(1025) 6171
			member(1026) 6171
			member(1027) 6171
			member(1028) 6171
			member(1029) 6171
			member(1030) 6171
			member(1031) 6171
			member(1032) 6171
			member(1033) 6171
			member(1034) 6171
			member(1035) 6171
			member(1036) 6171
			member(1037) 6171
			member(1038) 6171
			member(1039) 6165
			member(1040) 6081
			member(1041) 6010
			member(1042) 6029
			member(1043) 6249
			member(1044) 6914
			member(1045) 8483
			member(1046) 9864
			member(1047) 10226
			member(1048) 10768
			member(1049) 12640
			member(1050) 14810
			member(1051) 15739
			member(1052) 14551
			member(1053) 13738
			member(1054) 13596
			member(1055) 12666
			member(1056) 11143
			member(1057) 8560
			member(1058) 5035
			member(1059) 4331
			member(1060) 3705
			member(1061) 3073
			member(1062) 2595
			member(1063) 2259
			member(1064) 2117
			member(1065) 1936
			member(1066) 2053
			member(1067) 4674
			member(1068) 6094
			member(1069) 7669
			member(1070) 9186
			member(1071) 10258
			member(1072) 11472
			member(1073) 11155
			member(1074) 12195
			member(1075) 13932
			member(1076) 15107
			member(1077) 17405
			member(1078) 20685
			member(1079) 23635
			member(1080) 27444
			member(1081) 32079
			member(1082) 35753
			member(1083) 40640
			member(1084) 45443
			member(1085) 47735
			member(1086) 49130
			member(1087) 54482
			member(1088) 6171
			member(1089) 6171
			member(1090) 6171
			member(1091) 6171
			member(1092) 6171
			member(1093) 6171
			member(1094) 6171
			member(1095) 6171
			member(1096) 6171
			member(1097) 6171
			member(1098) 6171
			member(1099) 6171
			member(1100) 6171
			member(1101) 6171
			member(1102) 6171
			member(1103) 6113
			member(1104) 5849
			member(1105) 5803
			member(1106) 5978
			member(1107) 6591
			member(1108) 8257
			member(1109) 10342
			member(1110) 11369
			member(1111) 11401
			member(1112) 12382
			member(1113) 15481
			member(1114) 17741
			member(1115) 16817
			member(1116) 16721
			member(1117) 17760
			member(1118) 17883
			member(1119) 14513
			member(1120) 12421
			member(1121) 10426
			member(1122) 6662
			member(1123) 4338
			member(1124) 3473
			member(1125) 3073
			member(1126) 2621
			member(1127) 2453
			member(1128) 2582
			member(1129) 2827
			member(1130) 5281
			member(1131) 6301
			member(1132) 7398
			member(1133) 9102
			member(1134) 10581
			member(1135) 11595
			member(1136) 12414
			member(1137) 10755
			member(1138) 12105
			member(1139) 14616
			member(1140) 16566
			member(1141) 19639
			member(1142) 22718
			member(1143) 25643
			member(1144) 30059
			member(1145) 34249
			member(1146) 38516
			member(1147) 43674
			member(1148) 50679
			member(1149) 52190
			member(1150) 52190
			member(1151) 57839
			member(1152) 6171
			member(1153) 6171
			member(1154) 6171
			member(1155) 6171
			member(1156) 6171
			member(1157) 6171
			member(1158) 6171
			member(1159) 6171
			member(1160) 6171
			member(1161) 6171
			member(1162) 6171
			member(1163) 6171
			member(1164) 6171
			member(1165) 6171
			member(1166) 6171
			member(1167) 6088
			member(1168) 5791
			member(1169) 5791
			member(1170) 6036
			member(1171) 7618
			member(1172) 9974
			member(1173) 12137
			member(1174) 13086
			member(1175) 13699
			member(1176) 15416
			member(1177) 18799
			member(1178) 18987
			member(1179) 18593
			member(1180) 18741
			member(1181) 17056
			member(1182) 14519
			member(1183) 13402
			member(1184) 11904
			member(1185) 10600
			member(1186) 9206
			member(1187) 8612
			member(1188) 5435
			member(1189) 5435
			member(1190) 4764
			member(1191) 5513
			member(1192) 6378
			member(1193) 7372
			member(1194) 7618
			member(1195) 8302
			member(1196) 9387
			member(1197) 11052
			member(1198) 12912
			member(1199) 13680
			member(1200) 14693
			member(1201) 12744
			member(1202) 13693
			member(1203) 17089
			member(1204) 20123
			member(1205) 24113
			member(1206) 26908
			member(1207) 29148
			member(1208) 31963
			member(1209) 36418
			member(1210) 40834
			member(1211) 43997
			member(1212) 49401
			member(1213) 55347
			member(1214) 55347
			member(1215) 59091
			member(1216) 6171
			member(1217) 6171
			member(1218) 6171
			member(1219) 6171
			member(1220) 6171
			member(1221) 6171
			member(1222) 6171
			member(1223) 6171
			member(1224) 6171
			member(1225) 6171
			member(1226) 6171
			member(1227) 6171
			member(1228) 6171
			member(1229) 6171
			member(1230) 6171
			member(1231) 6088
			member(1232) 5855
			member(1233) 5855
			member(1234) 6824
			member(1235) 9309
			member(1236) 12195
			member(1237) 14455
			member(1238) 15604
			member(1239) 17166
			member(1240) 18761
			member(1241) 21776
			member(1242) 20497
			member(1243) 20310
			member(1244) 18825
			member(1245) 16624
			member(1246) 14551
			member(1247) 13170
			member(1248) 11362
			member(1249) 10097
			member(1250) 9509
			member(1251) 8844
			member(1252) 7811
			member(1253) 7773
			member(1254) 9916
			member(1255) 9735
			member(1256) 9490
			member(1257) 9632
			member(1258) 10355
			member(1259) 11168
			member(1260) 13854
			member(1261) 15126
			member(1262) 16307
			member(1263) 17469
			member(1264) 19419
			member(1265) 17353
			member(1266) 17889
			member(1267) 20026
			member(1268) 23997
			member(1269) 29613
			member(1270) 33739
			member(1271) 33603
			member(1272) 35023
			member(1273) 40543
			member(1274) 43739
			member(1275) 45876
			member(1276) 49420
			member(1277) 54766
			member(1278) 57710
			member(1279) 59162
			member(1280) 6171
			member(1281) 6171
			member(1282) 6171
			member(1283) 6171
			member(1284) 6171
			member(1285) 6171
			member(1286) 6171
			member(1287) 6171
			member(1288) 6171
			member(1289) 6171
			member(1290) 6171
			member(1291) 6171
			member(1292) 6171
			member(1293) 6171
			member(1294) 6171
			member(1295) 6159
			member(1296) 6159
			member(1297) 6359
			member(1298) 8179
			member(1299) 11343
			member(1300) 14319
			member(1301) 16101
			member(1302) 17011
			member(1303) 20401
			member(1304) 26346
			member(1305) 25468
			member(1306) 22015
			member(1307) 21950
			member(1308) 19006
			member(1309) 17134
			member(1310) 15959
			member(1311) 13338
			member(1312) 11465
			member(1313) 10368
			member(1314) 9948
			member(1315) 9948
			member(1316) 11917
			member(1317) 10729
			member(1318) 8450
			member(1319) 8450
			member(1320) 8986
			member(1321) 9180
			member(1322) 8941
			member(1323) 9006
			member(1324) 10297
			member(1325) 10826
			member(1326) 11181
			member(1327) 11833
			member(1328) 15236
			member(1329) 18180
			member(1330) 24197
			member(1331) 24035
			member(1332) 28245
			member(1333) 32880
			member(1334) 35178
			member(1335) 36786
			member(1336) 39213
			member(1337) 41789
			member(1338) 45418
			member(1339) 48775
			member(1340) 50989
			member(1341) 50989
			member(1342) 52848
			member(1343) 55799
			member(1344) 6171
			member(1345) 6171
			member(1346) 6171
			member(1347) 6171
			member(1348) 6171
			member(1349) 6171
			member(1350) 6171
			member(1351) 6171
			member(1352) 6171
			member(1353) 6171
			member(1354) 6171
			member(1355) 6171
			member(1356) 6171
			member(1357) 6171
			member(1358) 6171
			member(1359) 6171
			member(1360) 6268
			member(1361) 7217
			member(1362) 9981
			member(1363) 13260
			member(1364) 15494
			member(1365) 16650
			member(1366) 21550
			member(1367) 33919
			member(1368) 30892
			member(1369) 28264
			member(1370) 23196
			member(1371) 22802
			member(1372) 20362
			member(1373) 19271
			member(1374) 19303
			member(1375) 18225
			member(1376) 14745
			member(1377) 12544
			member(1378) 11491
			member(1379) 12492
			member(1380) 14364
			member(1381) 13422
			member(1382) 12931
			member(1383) 14312
			member(1384) 12970
			member(1385) 11904
			member(1386) 11414
			member(1387) 10871
			member(1388) 12046
			member(1389) 12731
			member(1390) 13234
			member(1391) 13828
			member(1392) 19045
			member(1393) 24687
			member(1394) 29768
			member(1395) 30394
			member(1396) 35114
			member(1397) 39465
			member(1398) 40343
			member(1399) 40369
			member(1400) 42370
			member(1401) 43720
			member(1402) 47496
			member(1403) 47561
			member(1404) 48568
			member(1405) 49369
			member(1406) 50053
			member(1407) 47109
			member(1408) 6171
			member(1409) 6171
			member(1410) 6171
			member(1411) 6171
			member(1412) 6171
			member(1413) 6171
			member(1414) 6171
			member(1415) 6171
			member(1416) 6171
			member(1417) 6171
			member(1418) 6171
			member(1419) 6171
			member(1420) 6171
			member(1421) 6171
			member(1422) 6171
			member(1423) 6184
			member(1424) 6494
			member(1425) 8270
			member(1426) 11756
			member(1427) 14926
			member(1428) 17386
			member(1429) 19716
			member(1430) 26798
			member(1431) 33777
			member(1432) 31860
			member(1433) 29516
			member(1434) 24035
			member(1435) 24035
			member(1436) 22473
			member(1437) 20833
			member(1438) 20898
			member(1439) 20239
			member(1440) 17599
			member(1441) 15107
			member(1442) 14958
			member(1443) 16469
			member(1444) 19109
			member(1445) 19981
			member(1446) 20743
			member(1447) 21220
			member(1448) 18199
			member(1449) 15843
			member(1450) 15565
			member(1451) 14538
			member(1452) 17825
			member(1453) 16888
			member(1454) 17992
			member(1455) 18696
			member(1456) 21647
			member(1457) 27063
			member(1458) 35863
			member(1459) 39181
			member(1460) 40847
			member(1461) 44707
