Partition B72E95FF-1681-11E1-8C62-84EAE0530135
			member(284) 2460
			member(285) 1595
			member(286) 687
			member(287) 344
			member(288) 71
			member(289) 0
			member(290) 608
			member(291) 855
			member(292) 1883
			member(293) 4609
			member(294) 7778
			member(295) 9702
			member(296) 10504
			member(297) 10811
			member(298) 10925
			member(299) 10875
			member(300) 11032
			member(301) 11331
			member(302) 11792
			member(303) 12552
			member(304) 13627
			member(305) 15140
			member(306) 16904
			member(307) 18409
			member(308) 19729
			member(309) 20499
			member(310) 21092
			member(311) 21967
			member(312) 23034
			member(313) 24027
			member(314) 24746
			member(315) 25753
			member(316) 26888
			member(317) 28116
			member(318) 29202
			member(319) 30483
			member(320) 10485
			member(321) 10723
			member(322) 10242
			member(323) 9335
			member(324) 8796
			member(325) 8710
			member(326) 8680
			member(327) 8680
			member(328) 7811
			member(329) 6909
			member(330) 6396
			member(331) 5542
			member(332) 4965
			member(333) 4694
			member(334) 4664
			member(335) 4660
			member(336) 4769
			member(337) 4909
			member(338) 4909
			member(339) 4926
			member(340) 4903
			member(341) 4883
			member(342) 4853
			member(343) 4699
			member(344) 4531
			member(345) 4263
			member(346) 3926
			member(347) 3480
			member(348) 2992
			member(349) 2172
			member(350) 1080
			member(351) 486
			member(352) 116
			member(353) 0
			member(354) 471
			member(355) 760
			member(356) 1636
			member(357) 4295
			member(358) 7396
			member(359) 9392
			member(360) 10264
			member(361) 10339
			member(362) 10472
			member(363) 10678
			member(364) 10953
			member(365) 11264
			member(366) 11762
			member(367) 12455
			member(368) 12758
			member(369) 14129
			member(370) 16175
			member(371) 17554
			member(372) 18746
			member(373) 20212
			member(374) 21040
			member(375) 21918
			member(376) 23199
			member(377) 24420
			member(378) 25584
			member(379) 26921
			member(380) 27667
			member(381) 28932
			member(382) 30131
			member(383) 30996
			member(384) 9993
			member(385) 10964
			member(386) 10830
			member(387) 9729
			member(388) 8834
			member(389) 8706
			member(390) 8680
			member(391) 8680
			member(392) 7969
			member(393) 6961
			member(394) 6160
			member(395) 5501
			member(396) 5023
			member(397) 4737
			member(398) 4737
			member(399) 4909
			member(400) 4909
			member(401) 4909
			member(402) 4909
			member(403) 4909
			member(404) 4902
			member(405) 4902
			member(406) 4902
			member(407) 4902
			member(408) 4892
			member(409) 4682
			member(410) 4284
			member(411) 3731
			member(412) 3274
			member(413) 2763
			member(414) 1606
			member(415) 833
			member(416) 249
			member(417) 114
			member(418) 404
			member(419) 763
			member(420) 1610
			member(421) 4216
			member(422) 7098
			member(423) 8442
			member(424) 8776
			member(425) 9745
			member(426) 10472
			member(427) 11118
			member(428) 11217
			member(429) 11358
			member(430) 11938
			member(431) 12316
			member(432) 12537
			member(433) 13385
			member(434) 15086
			member(435) 16820
			member(436) 18282
			member(437) 19565
			member(438) 20759
			member(439) 21959
			member(440) 23244
			member(441) 24431
			member(442) 25805
			member(443) 26985
			member(444) 28187
			member(445) 29385
			member(446) 30898
			member(447) 32082
			member(448) 9017
			member(449) 10064
			member(450) 11176
			member(451) 10257
			member(452) 9261
			member(453) 8886
			member(454) 8852
			member(455) 8463
			member(456) 7641
			member(457) 6815
			member(458) 6171
			member(459) 5654
			member(460) 5175
			member(461) 5044
			member(462) 4993
			member(463) 4909
			member(464) 4909
			member(465) 4909
			member(466) 4909
			member(467) 4909
			member(468) 4909
			member(469) 4909
			member(470) 4898
			member(471) 4898
			member(472) 4898
			member(473) 4898
			member(474) 4913
			member(475) 4570
			member(476) 4072
			member(477) 3316
			member(478) 2059
			member(479) 958
			member(480) 215
			member(481) 104
			member(482) 355
			member(483) 842
			member(484) 1936
			member(485) 4005
			member(486) 6519
			member(487) 7725
			member(488) 8761
			member(489) 9993
			member(490) 10979
			member(491) 11382
			member(492) 11815
			member(493) 11957
			member(494) 12421
			member(495) 12174
			member(496) 12376
			member(497) 13088
			member(498) 14095
			member(499) 16202
			member(500) 17986
			member(501) 19299
			member(502) 20576
			member(503) 21678
			member(504) 22892
			member(505) 24161
			member(506) 25206
			member(507) 26247
			member(508) 27483
			member(509) 28715
			member(510) 30393
			member(511) 31314
			member(512) 8985
			member(513) 9197
			member(514) 9961
			member(515) 10787
			member(516) 9877
			member(517) 9476
			member(518) 8953
			member(519) 8366
			member(520) 7572
			member(521) 6927
			member(522) 6362
			member(523) 5877
			member(524) 5452
			member(525) 5351
			member(526) 5016
			member(527) 4909
			member(528) 4909
			member(529) 4909
			member(530) 4909
			member(531) 4909
			member(532) 4909
			member(533) 4909
			member(534) 4898
			member(535) 4898
			member(536) 4898
			member(537) 4898
			member(538) 4898
			member(539) 4898
			member(540) 4694
			member(541) 4010
			member(542) 2490
			member(543) 958
			member(544) 237
			member(545) 181
			member(546) 679
			member(547) 908
			member(548) 1898
			member(549) 4364
			member(550) 7145
			member(551) 8832
			member(552) 9775
			member(553) 10697
			member(554) 11283
			member(555) 11934
			member(556) 12185
			member(557) 12339
			member(558) 12152
			member(559) 11957
			member(560) 12024
			member(561) 12324
			member(562) 13382
			member(563) 15322
			member(564) 17705
			member(565) 19688
			member(566) 21018
			member(567) 21853
			member(568) 22896
			member(569) 24128
			member(570) 24937
			member(571) 25899
			member(572) 26757
			member(573) 27670
			member(574) 28854
			member(575) 29685
			member(576) 8968
			member(577) 8950
			member(578) 9053
			member(579) 9603
			member(580) 10150
			member(581) 9811
			member(582) 9238
			member(583) 8620
			member(584) 7856
			member(585) 7137
			member(586) 6727
			member(587) 6341
			member(588) 5652
			member(589) 5351
			member(590) 5224
			member(591) 4948
			member(592) 4902
			member(593) 4909
			member(594) 4909
			member(595) 4909
			member(596) 4909
			member(597) 4909
			member(598) 4898
			member(599) 4898
			member(600) 4898
			member(601) 4898
			member(602) 4898
			member(603) 4898
			member(604) 4722
			member(605) 4138
			member(606) 2647
			member(607) 1091
			member(608) 451
			member(609) 393
			member(610) 784
			member(611) 887
			member(612) 2239
			member(613) 4727
			member(614) 7587
			member(615) 9204
			member(616) 10223
			member(617) 11346
			member(618) 11893
			member(619) 12631
			member(620) 12953
			member(621) 12672
			member(622) 12080
			member(623) 11713
			member(624) 11736
			member(625) 11923
			member(626) 12938
			member(627) 15097
			member(628) 17385
			member(629) 19553
			member(630) 21450
			member(631) 22886
			member(632) 23592
			member(633) 24322
			member(634) 24963
			member(635) 25899
			member(636) 26730
			member(637) 27015
			member(638) 27723
			member(639) 27434
			member(640) 8974
			member(641) 8923
			member(642) 8912
			member(643) 8905
			member(644) 8905
			member(645) 10272
			member(646) 10124
			member(647) 9418
			member(648) 8856
			member(649) 8294
			member(650) 7811
			member(651) 6839
			member(652) 5724
			member(653) 5381
			member(654) 4963
			member(655) 4939
			member(656) 4902
			member(657) 4902
			member(658) 4900
			member(659) 4909
			member(660) 4909
			member(661) 4909
			member(662) 4898
			member(663) 4898
			member(664) 4898
			member(665) 4898
			member(666) 4898
			member(667) 4898
			member(668) 4726
			member(669) 4201
			member(670) 2188
			member(671) 1074
			member(672) 541
			member(673) 526
			member(674) 908
			member(675) 1381
			member(676) 2741
			member(677) 5089
			member(678) 6802
			member(679) 8321
			member(680) 10167
			member(681) 11569
			member(682) 12344
			member(683) 12775
			member(684) 13253
			member(685) 12983
			member(686) 12095
			member(687) 11492
			member(688) 11448
			member(689) 11552
			member(690) 12500
			member(691) 14458
			member(692) 16548
			member(693) 19108
			member(694) 21501
			member(695) 23508
			member(696) 24498
			member(697) 25098
			member(698) 25592
			member(699) 26502
			member(700) 26509
			member(701) 26479
			member(702) 25858
			member(703) 25435
			member(704) 9753
			member(705) 8923
			member(706) 8907
			member(707) 8892
			member(708) 8886
			member(709) 8890
			member(710) 9893
			member(711) 10496
			member(712) 10244
			member(713) 9933
			member(714) 9066
			member(715) 7403
			member(716) 6104
			member(717) 5611
			member(718) 5156
			member(719) 4991
			member(720) 4909
			member(721) 4909
			member(722) 4909
			member(723) 4909
			member(724) 4905
			member(725) 4909
			member(726) 4759
			member(727) 5003
			member(728) 5018
			member(729) 4902
			member(730) 4902
			member(731) 4868
			member(732) 4119
			member(733) 2539
			member(734) 1174
			member(735) 1121
			member(736) 574
			member(737) 582
			member(738) 1151
			member(739) 1932
			member(740) 3138
			member(741) 4774
			member(742) 6040
			member(743) 7373
			member(744) 9283
			member(745) 11041
			member(746) 12451
			member(747) 12869
			member(748) 13387
			member(749) 12826
			member(750) 11676
			member(751) 11309
			member(752) 11279
			member(753) 11275
			member(754) 11964
			member(755) 13466
			member(756) 15844
			member(757) 18291
			member(758) 20737
			member(759) 23375
			member(760) 24854
			member(761) 25993
			member(762) 26562
			member(763) 26753
			member(764) 26112
			member(765) 25356
			member(766) 24824
			member(767) 24217
			member(768) 13691
			member(769) 9892
			member(770) 8916
			member(771) 8892
			member(772) 8875
			member(773) 8862
			member(774) 8864
			member(775) 9667
			member(776) 11184
			member(777) 11047
			member(778) 10335
			member(779) 8087
			member(780) 6738
			member(781) 6504
			member(782) 5572
			member(783) 5501
			member(784) 5280
			member(785) 4909
			member(786) 4909
			member(787) 4909
			member(788) 4909
			member(789) 4909
			member(790) 4624
			member(791) 4261
			member(792) 4145
			member(793) 4117
			member(794) 4340
			member(795) 3726
			member(796) 2424
			member(797) 1115
			member(798) 1018
			member(799) 655
			member(800) 576
			member(801) 584
			member(802) 1415
			member(803) 2479
			member(804) 3580
			member(805) 4774
			member(806) 6003
			member(807) 7294
			member(808) 8987
			member(809) 10770
			member(810) 12425
			member(811) 13279
			member(812) 13721
			member(813) 12605
			member(814) 11676
			member(815) 11249
			member(816) 11234
			member(817) 11234
			member(818) 11657
			member(819) 12970
			member(820) 15082
			member(821) 17619
			member(822) 20094
			member(823) 22658
			member(824) 24562
			member(825) 25723
			member(826) 25817
			member(827) 25951
			member(828) 25255
			member(829) 24521
			member(830) 23884
			member(831) 23375
			member(832) 14305
			member(833) 12878
			member(834) 10204
			member(835) 9040
			member(836) 8879
			member(837) 8858
			member(838) 8850
			member(839) 8882
			member(840) 9871
			member(841) 10858
			member(842) 10358
			member(843) 9332
			member(844) 7384
			member(845) 6663
			member(846) 6519
			member(847) 6321
			member(848) 5538
			member(849) 4963
			member(850) 4797
			member(851) 4909
			member(852) 4909
			member(853) 4594
			member(854) 4608
			member(855) 4261
			member(856) 3840
			member(857) 3673
			member(858) 3125
			member(859) 2743
			member(860) 1608
			member(861) 1037
			member(862) 977
			member(863) 683
			member(864) 576
			member(865) 674
			member(866) 1670
			member(867) 2797
			member(868) 3890
			member(869) 5235
			member(870) 6370
			member(871) 7504
			member(872) 9028
			member(873) 10687
			member(874) 12256
			member(875) 13470
			member(876) 13211
			member(877) 12631
			member(878) 11859
			member(879) 11301
			member(880) 11223
			member(881) 11227
			member(882) 11672
			member(883) 12951
			member(884) 14825
			member(885) 17128
			member(886) 19319
			member(887) 22017
			member(888) 24386
			member(889) 25277
			member(890) 25259
			member(891) 24772
			member(892) 24090
			member(893) 23528
			member(894) 23042
			member(895) 22884
			member(896) 15470
			member(897) 13867
			member(898) 13045
			member(899) 10245
			member(900) 9047
			member(901) 8862
			member(902) 8841
			member(903) 8841
			member(904) 9062
			member(905) 9762
			member(906) 9706
			member(907) 9545
			member(908) 8776
			member(909) 7229
			member(910) 6139
			member(911) 5806
			member(912) 5100
			member(913) 4733
			member(914) 4527
			member(915) 4969
			member(916) 4497
			member(917) 4241
			member(918) 3980
			member(919) 3988
			member(920) 3810
			member(921) 3705
			member(922) 3319
			member(923) 2743
			member(924) 1576
			member(925) 1121
			member(926) 966
			member(927) 632
			member(928) 572
			member(929) 726
			member(930) 1864
			member(931) 2965
			member(932) 4183
			member(933) 5823
			member(934) 7379
			member(935) 8648
			member(936) 9736
			member(937) 11062
			member(938) 12200
			member(939) 13485
			member(940) 13144
			member(941) 12575
			member(942) 11893
			member(943) 11197
			member(944) 10886
			member(945) 10863
			member(946) 11159
			member(947) 12365
			member(948) 14588
			member(949) 16683
			member(950) 19126
			member(951) 21763
			member(952) 24272
			member(953) 24476
			member(954) 23985
			member(955) 23843
			member(956) 23603
			member(957) 23229
			member(958) 22757
			member(959) 22746
			member(960) 16698
			member(961) 15265
			member(962) 14114
			member(963) 12666
			member(964) 10363
			member(965) 8933
			member(966) 8841
			member(967) 8622
			member(968) 8470
			member(969) 8468
			member(970) 8558
			member(971) 8923
			member(972) 8603
			member(973) 7369
			member(974) 6139
			member(975) 5791
			member(976) 4842
			member(977) 4576
			member(978) 4332
			member(979) 4613
			member(980) 4272
			member(981) 4257
			member(982) 3963
			member(983) 3947
			member(984) 3992
			member(985) 3911
			member(986) 3920
			member(987) 4156
			member(988) 2531
			member(989) 1140
			member(990) 1080
			member(991) 621
			member(992) 503
			member(993) 685
			member(994) 1782
			member(995) 2756
			member(996) 4123
			member(997) 5849
			member(998) 7085
			member(999) 8420
			member(1000) 10435
			member(1001) 11710
			member(1002) 12627
			member(1003) 13698
			member(1004) 13327
			member(1005) 12638
			member(1006) 11668
			member(1007) 10927
			member(1008) 10680
			member(1009) 10680
			member(1010) 10743
			member(1011) 11680
			member(1012) 14206
			member(1013) 16469
			member(1014) 19121
			member(1015) 21669
			member(1016) 23480
			member(1017) 23334
			member(1018) 23102
			member(1019) 23083
			member(1020) 23057
			member(1021) 23083
			member(1022) 22742
			member(1023) 22735
			member(1024) 18237
			member(1025) 16773
			member(1026) 15668
			member(1027) 14597
			member(1028) 13415
			member(1029) 10296
			member(1030) 8918
			member(1031) 8588
			member(1032) 8233
			member(1033) 8096
			member(1034) 7985
			member(1035) 7886
			member(1036) 7881
			member(1037) 7646
			member(1038) 7027
			member(1039) 6493
			member(1040) 5126
			member(1041) 4523
			member(1042) 4351
			member(1043) 4711
			member(1044) 4269
			member(1045) 4257
			member(1046) 4042
			member(1047) 4038
			member(1048) 4111
			member(1049) 4121
			member(1050) 4593
			member(1051) 5027
			member(1052) 4791
			member(1053) 2201
			member(1054) 1217
			member(1055) 672
			member(1056) 503
			member(1057) 619
			member(1058) 1351
			member(1059) 2576
			member(1060) 3879
			member(1061) 5415
			member(1062) 6265
			member(1063) 7339
			member(1064) 9302
			member(1065) 11404
			member(1066) 13041
			member(1067) 13548
			member(1068) 13814
			member(1069) 12803
			member(1070) 11668
			member(1071) 10927
			member(1072) 10691
			member(1073) 10695
			member(1074) 10743
			member(1075) 11328
			member(1076) 13290
			member(1077) 16001
			member(1078) 18686
			member(1079) 21411
			member(1080) 23206
			member(1081) 23038
			member(1082) 22993
			member(1083) 22772
			member(1084) 22735
			member(1085) 22746
			member(1086) 23000
			member(1087) 22888
			member(1088) 18544
			member(1089) 18413
			member(1090) 17275
			member(1091) 16162
			member(1092) 15138
			member(1093) 13608
			member(1094) 11639
			member(1095) 8804
			member(1096) 8233
			member(1097) 8053
			member(1098) 7914
			member(1099) 7806
			member(1100) 7656
			member(1101) 7448
			member(1102) 7371
			member(1103) 7384
			member(1104) 6336
			member(1105) 5136
			member(1106) 4490
			member(1107) 4621
			member(1108) 4344
			member(1109) 4257
			member(1110) 4212
			member(1111) 4194
			member(1112) 4420
			member(1113) 4448
			member(1114) 4898
			member(1115) 5658
			member(1116) 5815
			member(1117) 4727
			member(1118) 2024
			member(1119) 1069
			member(1120) 655
			member(1121) 655
			member(1122) 900
			member(1123) 2082
			member(1124) 3220
			member(1125) 4643
			member(1126) 5482
			member(1127) 6366
			member(1128) 8146
			member(1129) 10446
			member(1130) 11949
			member(1131) 12125
			member(1132) 12509
			member(1133) 13286
			member(1134) 12275
			member(1135) 11322
			member(1136) 10758
			member(1137) 10758
			member(1138) 10912
			member(1139) 11313
			member(1140) 12904
			member(1141) 15501
			member(1142) 18246
			member(1143) 20832
			member(1144) 22540
			member(1145) 22997
			member(1146) 22993
			member(1147) 22809
			member(1148) 22735
			member(1149) 22746
			member(1150) 23038
			member(1151) 23281
			member(1152) 19918
			member(1153) 19630
			member(1154) 18488
			member(1155) 17731
			member(1156) 16537
			member(1157) 15104
			member(1158) 13241
			member(1159) 11815
			member(1160) 9824
			member(1161) 8073
			member(1162) 7881
			member(1163) 7785
			member(1164) 7641
			member(1165) 7514
			member(1166) 7362
			member(1167) 7281
			member(1168) 7266
			member(1169) 5763
			member(1170) 4681
			member(1171) 4600
			member(1172) 4737
			member(1173) 4377
			member(1174) 4359
			member(1175) 4598
			member(1176) 4916
			member(1177) 5049
			member(1178) 5175
			member(1179) 5928
			member(1180) 6111
			member(1181) 6111
			member(1182) 4591
			member(1183) 1404
			member(1184) 814
			member(1185) 692
			member(1186) 700
			member(1187) 1408
			member(1188) 2696
			member(1189) 3872
			member(1190) 5081
			member(1191) 6253
			member(1192) 7909
			member(1193) 10017
			member(1194) 10287
			member(1195) 10287
			member(1196) 11215
			member(1197) 12702
			member(1198) 13777
			member(1199) 12842
			member(1200) 12019
			member(1201) 11260
			member(1202) 11260
			member(1203) 11436
			member(1204) 12889
			member(1205) 15112
			member(1206) 17209
			member(1207) 19447
			member(1208) 20954
			member(1209) 21993
			member(1210) 22650
			member(1211) 22926
			member(1212) 22907
			member(1213) 23038
			member(1214) 23491
			member(1215) 24420
			member(1216) 20473
			member(1217) 20589
			member(1218) 20143
			member(1219) 19199
			member(1220) 18241
			member(1221) 16979
			member(1222) 15453
			member(1223) 13518
			member(1224) 11998
			member(1225) 10597
			member(1226) 9405
			member(1227) 7892
			member(1228) 7628
			member(1229) 7500
			member(1230) 7373
			member(1231) 7263
			member(1232) 7240
			member(1233) 7081
			member(1234) 6643
			member(1235) 5474
			member(1236) 5152
			member(1237) 5493
			member(1238) 5441
			member(1239) 5430
			member(1240) 5722
			member(1241) 5433
			member(1242) 5471
			member(1243) 6160
			member(1244) 6517
			member(1245) 6111
			member(1246) 5570
			member(1247) 2179
			member(1248) 975
			member(1249) 528
			member(1250) 518
			member(1251) 932
			member(1252) 2127
			member(1253) 3374
			member(1254) 5115
			member(1255) 6315
			member(1256) 8227
			member(1257) 10008
			member(1258) 9362
			member(1259) 9317
			member(1260) 9440
			member(1261) 11032
			member(1262) 13488
			member(1263) 14383
			member(1264) 12994
			member(1265) 11878
			member(1266) 11734
			member(1267) 11871
			member(1268) 13241
			member(1269) 14440
			member(1270) 15919
			member(1271) 17507
			member(1272) 19100
			member(1273) 20495
			member(1274) 22070
			member(1275) 22982
			member(1276) 23420
			member(1277) 24229
			member(1278) 24978
			member(1279) 25292
			member(1280) 21360
			member(1281) 21712
			member(1282) 21828
			member(1283) 21278
			member(1284) 20244
			member(1285) 19031
			member(1286) 17737
			member(1287) 15887
			member(1288) 14024
			member(1289) 12470
			member(1290) 11195
			member(1291) 10019
			member(1292) 8835
			member(1293) 7867
			member(1294) 7375
			member(1295) 7261
			member(1296) 7225
			member(1297) 7059
			member(1298) 6828
			member(1299) 6647
			member(1300) 6508
			member(1301) 5433
			member(1302) 5523
			member(1303) 5707
			member(1304) 5737
			member(1305) 5737
			member(1306) 5802
			member(1307) 5877
			member(1308) 5871
			member(1309) 6091
			member(1310) 5124
			member(1311) 2505
			member(1312) 1205
			member(1313) 477
			member(1314) 458
			member(1315) 679
			member(1316) 1599
			member(1317) 2920
			member(1318) 4868
			member(1319) 7199
			member(1320) 9088
			member(1321) 9616
			member(1322) 9167
			member(1323) 9167
			member(1324) 9193
			member(1325) 9925
			member(1326) 12311
			member(1327) 14706
			member(1328) 13869
			member(1329) 12601
			member(1330) 12241
			member(1331) 12417
			member(1332) 13350
			member(1333) 14339
			member(1334) 14721
			member(1335) 15908
			member(1336) 17271
			member(1337) 19506
			member(1338) 21600
			member(1339) 22720
			member(1340) 23506
			member(1341) 23997
			member(1342) 25255
			member(1343) 26318
			member(1344) 22439
			member(1345) 23075
			member(1346) 23225
			member(1347) 23382
			member(1348) 22978
			member(1349) 21780
			member(1350) 20199
			member(1351) 17876
			member(1352) 16336
			member(1353) 14423
			member(1354) 13178
			member(1355) 12142
			member(1356) 11047
			member(1357) 9729
			member(1358) 8953
			member(1359) 8036
			member(1360) 7300
			member(1361) 7042
			member(1362) 6761
			member(1363) 6645
			member(1364) 6510
			member(1365) 5826
			member(1366) 5506
			member(1367) 5426
			member(1368) 5577
			member(1369) 5737
			member(1370) 5737
			member(1371) 5738
			member(1372) 5815
			member(1373) 5856
			member(1374) 5124
			member(1375) 3216
			member(1376) 1786
			member(1377) 589
			member(1378) 501
			member(1379) 702
			member(1380) 1449
			member(1381) 2825
			member(1382) 4647
			member(1383) 6667
			member(1384) 7871
			member(1385) 9015
			member(1386) 9178
			member(1387) 9178
			member(1388) 9261
			member(1389) 9905
			member(1390) 11985
			member(1391) 14376
			member(1392) 14636
			member(1393) 13730
			member(1394) 12914
			member(1395) 12893
			member(1396) 13309
			member(1397) 13893
			member(1398) 14354
			member(1399) 15003
			member(1400) 16061
			member(1401) 18366
			member(1402) 20613
			member(1403) 22720
			member(1404) 23513
			member(1405) 24056
			member(1406) 25618
			member(1407) 26955
			member(1408) 24483
			member(1409) 24540
			member(1410) 24379
			member(1411) 24562
			member(1412) 24558
			member(1413) 24341
			member(1414) 22716
			member(1415) 19967
			member(1416) 18147
			member(1417) 16748
			member(1418) 15007
			member(1419) 13972
			member(1420) 12713
			member(1421) 11477
			member(1422) 10526
			member(1423) 9927
			member(1424) 9137
			member(1425) 7837
			member(1426) 6853
			member(1427) 6592
			member(1428) 6506
			member(1429) 6504
			member(1430) 5328
			member(1431) 5345
			member(1432) 5343
			member(1433) 5701
			member(1434) 5767
			member(1435) 5841
			member(1436) 5808
			member(1437) 5817
			member(1438) 5606
			member(1439) 3718
			member(1440) 2198
			member(1441) 1174
			member(1442) 623
			member(1443) 756
			member(1444) 1100
			member(1445) 2729
			member(1446) 4310
			member(1447) 5935
			member(1448) 7287
			member(1449) 8824
			member(1450) 9407
			member(1451) 9466
			member(1452) 9657
			member(1453) 10103
			member(1454) 11833
			member(1455) 14101
			member(1456) 15593
			member(1457) 15471
			member(1458) 14419
			member(1459) 13762
			member(1460) 13766
			member(1461) 13994
			member(1462) 14402
			member(1463) 15003
			member(1464) 16013
			member(1465) 17531
			member(1466) 19746
			member(1467) 22334
			member(1468) 23970
			member(1469) 24652
