Partition 2508D206-6983-4E27-8283-3A3D23FDA103
                Id -1952177180 (Enable)
            Time 1309
        member(12)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 1388
        member(13)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 1518
        member(14)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 2280
        member(15)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 2380
        member(16)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 2465
        member(17)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 2540
        member(18)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 2631
        member(19)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 2713
        member(20)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 2798
        member(21)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 3641
        member(22)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 3729
        member(23)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 3829
        member(24)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 3920
        member(25)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 3986
        member(26)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 4035
        member(27)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 4098
        member(28)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 4307
        member(29)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 4591
    SequenceStartTime 0
    SequenceLength 5000
    Looping False
    AutoStart False
    AutoPlayFirstFrame False
    PlayInReverse False
    Realm Realm_ClientAndServer
    PropertyTracks::array
        member(0) 5E69A7CC-1569-4177-8024-7F47D26E4F56
        member(1) 9777E6E4-A714-47EB-8EA0-A5F907962A58
    CustomSequenceTracks *nullArray*
    ClientUpdatePass UpdatePass_PostFrame
    ServerUpdatePass UpdatePass_PreSim
    ExternalTime 0.0
SpatialPrefabBlueprint 0728C7F9-7014-4304-8650-E420F49B813D #primary instance
    $::PrefabBlueprint
        $::Blueprint
            $::EntityBusData
                $::DataBusData
                    $::Asset
                        $::DataContainer
                        Name Levels/SP_Earthquake/Props/LightCeiling_02/LightCeiling_02_Garage_01_Shadows_EQ1
                    PropertyConnections::array
                        member(0)::PropertyConnection
                            Source 92FF971A-D146-4B7F-9CA3-ED4D5790723D
                            Target 1FD8E1E6-D34E-4834-8E1F-98BF9CF0B471
                            SourceFieldId 622077060
                            TargetFieldId -458572566 (Intensity)
                        member(1)::PropertyConnection
                            Source 92FF971A-D146-4B7F-9CA3-ED4D5790723D
                            Target 7E77B33B-C55D-43B0-AAF4-BD01BA53E36B
                            SourceFieldId -783084871
                            TargetFieldId -458572566 (Intensity)
                        member(2)::PropertyConnection
                            Source C580C5FF-23C2-44D8-9B69-3097B2B027A9
                            Target 3E24E5E0-C1D3-4F46-959D-38DD86011EE4
                            SourceFieldId 1564494525 (CurrentVariation)
                            TargetFieldId -670630719 (ObjectVariation)
                    LinkConnections *nullArray*
                EventConnections::array
                    member(0)::EventConnection
                        Source 92FF971A-D146-4B7F-9CA3-ED4D5790723D
                        Target C580C5FF-23C2-44D8-9B69-3097B2B027A9
                        SourceEvent::EventSpec
                            Id -1952177180 (Enable)
                        TargetEvent::EventSpec
                            Id 1489724583 (SetVariation1)
                        TargetType EventConnectionTargetType_Client
                    member(1)::EventConnection
                        Source 92FF971A-D146-4B7F-9CA3-ED4D5790723D
                        Target C580C5FF-23C2-44D8-9B69-3097B2B027A9
                        SourceEvent::EventSpec
                            Id -117303631 (Disable)
                        TargetEvent::EventSpec
                            Id 1489724580 (SetVariation2)
                        TargetType EventConnectionTargetType_Client
                    member(2)::EventConnection
                        Source 3E24E5E0-C1D3-4F46-959D-38DD86011EE4
                        Target 92FF971A-D146-4B7F-9CA3-ED4D5790723D
                        SourceEvent::EventSpec
                            Id -2120949218 (OnHealthState1)
                        TargetEvent::EventSpec
                            Id 230748069 (Start)
                        TargetType EventConnectionTargetType_ClientAndServer
                    member(3)::EventConnection
                        Source 92FF971A-D146-4B7F-9CA3-ED4D5790723D
                        Target 3E24E5E0-C1D3-4F46-959D-38DD86011EE4
                        SourceEvent::EventSpec
                            Id 650265526 (OnFinished)
                        TargetEvent::EventSpec
                            Id 229946160 (Reset)
                        TargetType EventConnectionTargetType_Server
                Descriptor *nullGuid*
                NeedNetworkId False
                InterfaceHasConnections False
                AlwaysCreateEntityBusClient False
                AlwaysCreateEntityBusServer False
        Objects::array
            member(0) 1FD8E1E6-D34E-4834-8E1F-98BF9CF0B471
            member(1) 7E77B33B-C55D-43B0-AAF4-BD01BA53E36B
            member(2) 3E24E5E0-C1D3-4F46-959D-38DD86011EE4
            member(3) C580C5FF-23C2-44D8-9B69-3097B2B027A9
            member(4) 92FF971A-D146-4B7F-9CA3-ED4D5790723D
SpotLightEntityData 1FD8E1E6-D34E-4834-8E1F-98BF9CF0B471
    $::LocalLightEntityData
        $::SpatialEntityData
            $::EntityData
                $::GameObjectData
                    $::GameDataContainer
                        $::DataContainer
                    IsEventConnectionTarget 3
                    IsPropertyConnectionTarget 2
                    IndexInBlueprint 0
            Transform::LinearTransform
                right::Vec3
                    x 1.0
                    y 0.0
                    z 0.0
                up::Vec3
                    x 0.0
                    y 5.96046660917e-08
                    z -0.999999940395
                forward::Vec3
                    x 0.0
                    y 0.999999940395
                    z 5.96046660917e-08
                trans::Vec3
                    x 0.0
                    y -0.475617915392
                    z 0.0
        Color::Vec3
            x 1.0
            y 0.757000029087
            z 0.280000001192
        Radius 4.0
        Intensity 4.0
        AttenuationOffset 0.00999999977648
        Visible True
        SpecularEnable True
        EnlightenColorMode EnlightenColorMode_Multiply
        EnlightenEnable True
        EnlightenColorScale::Vec3
            x 3.0
            y 3.0
            z 3.0
        ParticleColorScale::Vec3
            x 1.0
            y 1.0
            z 1.0
    Shape SpotLightShape_Cone
    ConeInnerAngle 0.0
    ConeOuterAngle 156.276992798
    FrustumFov 40.0
    FrustumAspect 1.0
    OrthoWidth 5.0
    OrthoHeight 5.0
    Texture *nullGuid*
    CastShadowsEnable True
    CastShadowsMinLevel QualityLevel_Low
